no,tingkat_pendidikan,Usia,nama_prodi,Pengalaman Kerja,Sertifikat,disabilitas,status_pernikahan,jumlah_anak
23,SLTA / MA / Sederajat,28,IPS,tidak ada,tidak ada,f,Duda,1
24,SMK / MAK / Sederajat,25,Perhotelan,tidak ada,tidak ada,f,Menikah,1
25,Strata I (S1),31,Ilmu Hukum,"{""TENAGA PROFESIONAL""}",ada,f,Belum menikah,0
26,SLTA / MA / Sederajat,22,IPS,tidak ada,tidak ada,f,Belum menikah,0
27,SMK / MAK / Sederajat,27,IPS,tidak ada,tidak ada,f,Belum menikah,0
28,Diploma IV,28,Perpajakan,tidak ada,tidak ada,f,Belum menikah,0
29,Strata II (Magister/S2),34,Manajemen,tidak ada,tidak ada,f,Menikah,0
30,Strata I (S1),34,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
31,SLTA / MA / Sederajat,56,IPA,{Kesehatan},ada,f,Menikah,4
32,SLTA / MA / Sederajat,27,IPA,tidak ada,tidak ada,f,Menikah,1
33,SLTA / MA / Sederajat,31,IPS,tidak ada,tidak ada,f,Menikah,1
34,Strata I (S1),36,Manajemen,tidak ada,tidak ada,f,Menikah,0
35,SMK / MAK / Sederajat,37,Umum,tidak ada,tidak ada,f,Menikah,1
36,SLTA / MA / Sederajat,36,IPS,tidak ada,tidak ada,f,Belum menikah,0
37,Strata I (S1),27,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
38,Strata I (S1),27,Manajemen,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
39,Strata I (S1),31,Teknik Kelautan,tidak ada,tidak ada,f,Belum menikah,0
40,Strata I (S1),28,Teknik Industri,tidak ada,tidak ada,f,Belum menikah,0
41,Strata I (S1),34,Ilmu Politik,tidak ada,tidak ada,f,Menikah,1
42,SMK / MAK / Sederajat,28,Teknik Otomotif,"{""Lain - Lain""}",tidak ada,f,Menikah,1
43,SLTA / MA / Sederajat,44,IPA,tidak ada,ada,f,Menikah,3
44,Strata I (S1),25,Manajemen,tidak ada,ada,f,Belum menikah,0
45,SLTA / MA / Sederajat,25,IPA,tidak ada,tidak ada,f,Belum menikah,0
46,Strata I (S1),38,Teknik Sistem Perkapalan,tidak ada,tidak ada,f,Menikah,1
47,Strata I (S1),26,Ilmu Hukum,tidak ada,ada,f,Belum menikah,0
48,Strata I (S1),29,Ilmu Administrasi Publik,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
49,Strata I (S1),26,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
50,Strata I (S1),31,Agribisnis,tidak ada,tidak ada,f,Belum menikah,0
51,Strata I (S1),30,IPA,tidak ada,tidak ada,f,Belum menikah,0
52,Strata I (S1),25,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
53,Strata I (S1),33,Manajemen,tidak ada,tidak ada,f,Menikah,0
54,Strata I (S1),36,Ekonomi Pembangunan,{Marketing},tidak ada,f,Menikah,1
55,Strata I (S1),26,Manajemen,tidak ada,tidak ada,f,Belum menikah,2
56,SLTA / MA / Sederajat,25,IPA,tidak ada,tidak ada,f,Belum menikah,0
57,Diploma III,38,Manajemen Informatika,{{Arsitektur}tur},ada,f,Menikah,2
58,SMK / MAK / Sederajat,32,Administrasi Perkantoran,tidak ada,tidak ada,f,Menikah,2
59,SMK / MAK / Sederajat,28,Listrik,tidak ada,tidak ada,f,Belum menikah,0
60,Strata I (S1),26,Ekonomi Pembangunan,tidak ada,tidak ada,f,Belum menikah,0
61,SLTA / MA / Sederajat,24,IPA,tidak ada,tidak ada,f,Belum menikah,0
62,Strata I (S1),26,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
63,Diploma III,31,Keperawatan,tidak ada,tidak ada,t,Menikah,1
64,SMK / MAK / Sederajat,19,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
65,Diploma III,28,Akuntansi,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",ada,f,Belum menikah,0
66,Strata I (S1),24,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
67,Strata I (S1),30,Ilmu Administrasi Publik,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
68,Diploma IV,32,Manajemen Pemerintah,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,0
69,Strata I (S1),30,Ilmu Administrasi Publik,tidak ada,tidak ada,f,Belum menikah,0
70,SMK / MAK / Sederajat,24,IPA,{Marketing},tidak ada,f,Belum menikah,0
71,Diploma IV,25,Umum,"{""TENAGA PROFESIONAL""}",ada,f,Belum menikah,0
72,SMK / MAK / Sederajat,38,IPS,tidak ada,tidak ada,f,Menikah,1
73,Strata I (S1),27,Teknik Informatika,"{""Information Technology (IT)""}",tidak ada,f,Menikah,1
74,Diploma III,29,Perhotelan,tidak ada,tidak ada,f,Belum menikah,0
75,Strata I (S1),34,Bahasa dan Sastra Indonesia,tidak ada,tidak ada,f,Menikah,1
76,SLTA / MA / Sederajat,20,Animasi,"{""TENAGA TATA USAHA""}",tidak ada,f,Belum menikah,0
77,Strata I (S1),26,Sistem Informasi,"{""Lain - Lain""}",ada,f,Menikah,0
78,Diploma III,30,Ilmu Kesehatan Masyarakat,tidak ada,tidak ada,f,Belum menikah,0
79,Strata I (S1),32,Ilmu Kesehatan Masyarakat,tidak ada,tidak ada,f,Menikah,1
80,Diploma III,25,Akuntansi,{Akunting},ada,f,Belum menikah,0
81,Strata I (S1),42,Agroteknologi,"{""TENAGA USAHA PERTANIAN DAN PETERNAKAN""}",tidak ada,f,Menikah,3
82,Strata I (S1),27,Teknik Informatika,tidak ada,tidak ada,f,Belum menikah,0
83,Strata I (S1),26,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
84,SLTA / MA / Sederajat,41,IPS,tidak ada,tidak ada,f,Menikah,2
85,SLTA / MA / Sederajat,25,IPA,tidak ada,tidak ada,f,Belum menikah,0
86,SMK / MAK / Sederajat,32,Komputer Multimedia,"{""Lain - Lain""}",tidak ada,f,Menikah,2
87,Strata I (S1),27,Ilmu Kesehatan Masyarakat,tidak ada,tidak ada,f,Menikah,0
88,Strata I (S1),31,Agroteknologi,"{""TENAGA PENGOLAHAN DAN KERAJINAN YANG BERHUBUNGAN DENGAN ITU""}",ada,f,Belum menikah,0
89,Strata I (S1),26,Psikologi,"{""TENAGA PROFESIONAL""}",tidak ada,f,Belum menikah,0
90,SLTA / MA / Sederajat,21,IPA,tidak ada,tidak ada,f,Belum menikah,0
91,SLTA / MA / Sederajat,22,IPA,tidak ada,tidak ada,f,Belum menikah,0
92,Strata I (S1),32,Pendidikan Bahasa Inggris,tidak ada,tidak ada,f,Menikah,1
93,SLTA / MA / Sederajat,29,IPS,tidak ada,tidak ada,f,Belum menikah,0
94,Strata I (S1),25,Ilmu Hukum,tidak ada,ada,f,Belum menikah,0
95,Strata I (S1),28,Teknik Industri,{Marketing},ada,f,Belum menikah,0
96,Strata II (Magister/S2),34,Umum,{Pendidikan},tidak ada,f,Menikah,1
97,SMK / MAK / Sederajat,19,Teknik Komputer,tidak ada,tidak ada,t,Belum menikah,0
98,Strata I (S1),33,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
99,Strata I (S1),27,Perikanan,tidak ada,tidak ada,f,Belum menikah,0
100,SLTA / MA / Sederajat,33,IPS,tidak ada,tidak ada,f,Belum menikah,0
101,Strata I (S1),28,Hubungan Internasional,tidak ada,tidak ada,f,Belum menikah,0
102,SLTA / MA / Sederajat,30,IPS,tidak ada,tidak ada,f,Belum menikah,0
103,SLTA / MA / Sederajat,32,IPS,tidak ada,tidak ada,t,Belum menikah,0
104,SMK / MAK / Sederajat,32,Teknik Otomotif,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,t,Menikah,2
105,Strata I (S1),24,Teknik Informatika,tidak ada,tidak ada,f,Belum menikah,0
106,Strata I (S1),33,Pendidikan Matematika,tidak ada,tidak ada,f,Menikah,3
107,Tidak Memiliki Ijazah,27,Pendidikan Fisika,tidak ada,tidak ada,f,Belum menikah,0
108,Strata I (S1),24,Sistem Informasi,tidak ada,tidak ada,f,Belum menikah,0
109,Strata I (S1),46,Ilmu Ekonomi,tidak ada,tidak ada,f,Janda,3
110,Diploma III,39,Ilmu Teknik Sipil,{Teknik},ada,f,Belum menikah,0
111,SLTA / MA / Sederajat,23,IPS,tidak ada,tidak ada,f,Belum menikah,0
112,Diploma IV,24,Teknik Elektro,"{""TEKNISI DAN ASISTEN TENAGA PROFESIONAL""}",ada,f,Belum menikah,0
113,Strata I (S1),26,Ilmu Komunikasi,tidak ada,tidak ada,f,Menikah,1
114,SMK / MAK / Sederajat,28,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
115,SMK / MAK / Sederajat,22,Akuntansi,tidak ada,ada,f,Belum menikah,0
116,SLTA / MA / Sederajat,24,IPA,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
117,Strata I (S1),34,Manajemen,"{""Lain - Lain""}",tidak ada,f,Menikah,0
118,Diploma III,25,Sistem Informasi,tidak ada,tidak ada,f,Belum menikah,0
119,SMK / MAK / Sederajat,21,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
120,SMK / MAK / Sederajat,30,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
121,SMK / MAK / Sederajat,19,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
122,SLTP / MTs / Sederajat,31,Manajemen,tidak ada,tidak ada,f,Menikah,2
123,Strata I (S1),41,Akuntansi,tidak ada,tidak ada,f,Menikah,2
124,Strata I (S1),29,Akuntansi,"{""TENAGA PROFESIONAL""}",ada,f,Belum menikah,0
125,SMK / MAK / Sederajat,28,IPA,"{""Perbankan / Keuangan""}",ada,f,Belum menikah,0
126,Strata I (S1),37,Arsitektur,tidak ada,tidak ada,f,Menikah,0
127,Strata I (S1),26,Akuntansi,tidak ada,tidak ada,f,Menikah,0
128,Strata I (S1),26,Sastra Inggris,"{""TENAGA TATA USAHA""}",ada,f,Belum menikah,0
129,Strata I (S1),29,Ekonomi Islam,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,1
130,SLTA / MA / Sederajat,19,Kimia,tidak ada,tidak ada,t,Belum menikah,0
131,Diploma III,48,Komputerisasi Akuntansi,tidak ada,tidak ada,f,Menikah,3
132,Strata I (S1),35,Manajemen,"{""Lain - Lain""}",ada,f,Menikah,0
133,SMK / MAK / Sederajat,20,Listrik,tidak ada,tidak ada,f,Belum menikah,0
134,Strata I (S1),25,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
135,Diploma II,21,Ilmu Administrasi,tidak ada,tidak ada,t,Belum menikah,0
136,Strata I (S1),28,Psikologi,"{""PEKERJA KASAR, TENAGA KEBERSIHAN, DAN TENAGA YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Belum menikah,0
137,SMK / MAK / Sederajat,20,Keuangan Dan Perbankan,tidak ada,tidak ada,f,Belum menikah,0
138,SMK / MAK / Sederajat,34,Akuntansi,tidak ada,tidak ada,f,Menikah,0
139,Strata I (S1),32,Teknik Sipil,tidak ada,tidak ada,f,Menikah,1
140,Strata I (S1),26,Ekonomi Islam,tidak ada,ada,f,Belum menikah,0
141,Strata I (S1),48,Pendidikan Dokter Gigi,tidak ada,tidak ada,f,Janda,2
142,Strata I (S1),46,Sosiologi,tidak ada,tidak ada,f,Menikah,3
143,Strata I (S1),23,Psikologi,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
144,Strata II (Magister/S2),40,Manajemen,tidak ada,tidak ada,f,Menikah,3
145,Strata I (S1),43,Teknik Mesin,tidak ada,tidak ada,f,Menikah,3
146,SMK / MAK / Sederajat,21,Akuntansi,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
147,SMK / MAK / Sederajat,31,Perhotelan,{Kesehatan},tidak ada,f,Menikah,1
148,Strata I (S1),36,Arsitektur,tidak ada,tidak ada,f,Menikah,3
149,Strata I (S1),32,Ilmu Komunikasi,tidak ada,tidak ada,f,Menikah,1
150,SMK / MAK / Sederajat,24,Teknik Mesin,tidak ada,ada,f,Belum menikah,0
151,SLTA / MA / Sederajat,20,IPA,tidak ada,tidak ada,f,Belum menikah,0
152,Strata I (S1),27,Sistem Informasi,"{""Information Technology (IT)""}",ada,f,Belum menikah,0
153,SLTA / MA / Sederajat,28,IPS,tidak ada,tidak ada,f,Belum menikah,0
154,SLTA / MA / Sederajat,31,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
155,SLTA / MA / Sederajat,23,IPS,tidak ada,tidak ada,f,Belum menikah,0
156,Strata I (S1),30,Manajemen,"{""TEKNISI DAN ASISTEN TENAGA PROFESIONAL""}",tidak ada,f,Menikah,1
157,Strata I (S1),24,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
158,SMK / MAK / Sederajat,27,Tata Boga,tidak ada,tidak ada,f,Belum menikah,0
159,SMK / MAK / Sederajat,28,Komputer Multimedia,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
160,Strata I (S1),27,Teknik Sipil,tidak ada,tidak ada,f,Belum menikah,0
161,Strata I (S1),27,Bimbingan Dan Konseling,tidak ada,ada,f,Belum menikah,0
162,SMK / MAK / Sederajat,20,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
163,SMK / MAK / Sederajat,21,Komputerisasi Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
164,SLTA / MA / Sederajat,33,IPS,tidak ada,tidak ada,f,Menikah,1
165,SMK / MAK / Sederajat,22,Listrik,tidak ada,tidak ada,f,Belum menikah,0
166,SLTA / MA / Sederajat,37,IPA,tidak ada,tidak ada,f,Menikah,2
167,Strata I (S1),27,Manajemen Pemasaran,tidak ada,tidak ada,f,Menikah,1
168,SLTA / MA / Sederajat,32,IPS,"{""Lain - Lain""}",tidak ada,f,Menikah,0
169,Strata I (S1),25,Akuntansi,"{""Lain - Lain""}",ada,f,Belum menikah,0
170,Diploma III,24,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
171,SMK / MAK / Sederajat,25,Ilmu Administrasi Publik,tidak ada,tidak ada,f,Menikah,0
172,SLTA / MA / Sederajat,22,IPA,"{""TENAGA PENGOLAHAN DAN KERAJINAN YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Belum menikah,0
173,Strata I (S1),26,Akuntansi,{{Arsitektur}tur},ada,f,Belum menikah,0
174,Strata I (S1),31,Teknologi Informasi,tidak ada,tidak ada,f,Menikah,2
175,Strata I (S1),34,Bahasa dan Sastra Indonesia,{Marketing},tidak ada,f,Menikah,3
176,SLTA / MA / Sederajat,43,IPA,tidak ada,tidak ada,f,Menikah,2
177,SMK / MAK / Sederajat,35,Pendidikan Islam,tidak ada,tidak ada,f,Menikah,3
178,Strata I (S1),27,Matematika,tidak ada,tidak ada,f,Menikah,0
179,SMK / MAK / Sederajat,36,Teknik Komputer,tidak ada,tidak ada,f,Menikah,2
180,SLTA / MA / Sederajat,37,IPA,tidak ada,tidak ada,f,Menikah,2
181,SMK / MAK / Sederajat,24,Teknik Kimia,tidak ada,tidak ada,f,Belum menikah,0
182,SLTA / MA / Sederajat,25,IPS,tidak ada,tidak ada,f,Belum menikah,0
183,Strata I (S1),30,Teknik Elektro,tidak ada,ada,f,Belum menikah,0
184,Strata I (S1),24,Ilmu Administrasi Publik,tidak ada,ada,f,Belum menikah,0
185,SMK / MAK / Sederajat,25,Sosial Ekonomi Pertanian,tidak ada,tidak ada,t,Belum menikah,0
186,SLTA / MA / Sederajat,35,IPA,"{""Lain - Lain""}",tidak ada,f,Menikah,2
187,SLTA / MA / Sederajat,22,IPA,tidak ada,tidak ada,f,Belum menikah,0
188,Strata I (S1),27,Gizi,{Kesehatan},ada,f,Menikah,0
189,SMK / MAK / Sederajat,22,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
190,Strata I (S1),32,Akuntansi,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
191,SLTA / MA / Sederajat,32,Sosial Ekonomi Pertanian,tidak ada,tidak ada,f,Menikah,1
192,Strata I (S1),31,Biologi,{Pendidikan},tidak ada,f,Menikah,0
193,Diploma III,35,Teknik Elektro,tidak ada,tidak ada,f,Menikah,1
194,Strata I (S1),37,Teknik Elektro,tidak ada,tidak ada,f,Menikah,2
195,Strata I (S1),31,Teknik Kimia,{Marketing},tidak ada,f,Menikah,0
196,Strata I (S1),32,Sistem Informasi,tidak ada,tidak ada,f,Menikah,0
197,SLTA / MA / Sederajat,38,IPS,tidak ada,tidak ada,f,Menikah,2
198,SMK / MAK / Sederajat,21,Administrasi Perkantoran,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",ada,f,Belum menikah,0
199,Strata I (S1),38,Teknik Industri,tidak ada,tidak ada,f,Menikah,0
200,SMK / MAK / Sederajat,27,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,0
201,SMK / MAK / Sederajat,21,Teknik Elektro,tidak ada,tidak ada,f,Belum menikah,0
202,Diploma III,34,Komputerisasi Akuntansi,tidak ada,tidak ada,f,Menikah,0
203,Strata I (S1),29,Teknik Elektro,tidak ada,tidak ada,f,Menikah,0
204,Strata I (S1),24,Fisika,tidak ada,tidak ada,f,Belum menikah,0
205,Strata I (S1),24,Sastra Jepang,tidak ada,ada,f,Belum menikah,0
206,SMK / MAK / Sederajat,20,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
207,Strata I (S1),36,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
208,Strata I (S1),32,IPA,tidak ada,tidak ada,f,Belum menikah,0
209,SMK / MAK / Sederajat,28,Teknik Komputer,tidak ada,tidak ada,f,Menikah,2
210,SMK / MAK / Sederajat,27,Teknik Elektro,tidak ada,tidak ada,f,Belum menikah,0
211,SMK / MAK / Sederajat,32,Teknik Informatika,tidak ada,tidak ada,f,Belum menikah,4
212,SMK / MAK / Sederajat,30,Komputer Multimedia,tidak ada,tidak ada,f,Menikah,1
213,Strata I (S1),25,Ilmu Komunikasi,tidak ada,ada,f,Belum menikah,0
214,Strata I (S1),28,Matematika,tidak ada,tidak ada,f,Menikah,1
215,SMK / MAK / Sederajat,27,Teknik Komputer,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
216,Strata I (S1),26,Teknik Lingkungan,tidak ada,ada,f,Belum menikah,0
217,SLTA / MA / Sederajat,33,Kesekretariatan,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
218,Strata I (S1),40,Administrasi Perkantoran,tidak ada,tidak ada,f,Menikah,3
219,Strata I (S1),31,Teknik Informatika,tidak ada,tidak ada,f,Belum menikah,0
220,SMK / MAK / Sederajat,21,Teknik Telekomunikasi,tidak ada,tidak ada,f,Belum menikah,0
221,Diploma III,45,Ilmu Administrasi Negara,tidak ada,tidak ada,f,Menikah,1
222,Strata II (Magister/S2),35,Manajemen,tidak ada,tidak ada,f,Menikah,2
223,SLTA / MA / Sederajat,32,Umum,tidak ada,tidak ada,f,Menikah,2
224,Strata I (S1),33,Teknik Informatika,tidak ada,ada,f,Menikah,0
225,SMK / MAK / Sederajat,20,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
226,SMK / MAK / Sederajat,19,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
227,Strata I (S1),34,Pendidikan Bahasa Inggris,"{""Lain - Lain""}",tidak ada,f,Menikah,1
228,Strata I (S1),29,Ilmu Perpustakaan,tidak ada,tidak ada,f,Belum menikah,0
229,Strata I (S1),43,Manajemen,tidak ada,tidak ada,f,Menikah,1
230,SLTA / MA / Sederajat,25,IPA,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
231,SMK / MAK / Sederajat,22,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
232,SMK / MAK / Sederajat,22,Akuntansi,{Akunting},ada,f,Belum menikah,0
233,SLTA / MA / Sederajat,28,IPA,tidak ada,tidak ada,f,Belum menikah,0
234,SMK / MAK / Sederajat,41,Listrik,tidak ada,tidak ada,f,Menikah,3
235,Strata I (S1),26,Psikologi,"{""Information Technology (IT)""}",ada,f,Belum menikah,0
236,Diploma IV,27,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
237,Diploma III,39,Televisi dan Film,"{""Lain - Lain""}",tidak ada,f,Menikah,1
238,Strata I (S1),29,Administrasi Niaga,tidak ada,tidak ada,f,Menikah,0
239,SMK / MAK / Sederajat,40,Akuntansi,tidak ada,tidak ada,f,Menikah,1
240,Strata I (S1),28,Ilmu Ekonomi,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
241,Strata I (S1),26,Hubungan Internasional,tidak ada,tidak ada,f,Belum menikah,0
242,Strata I (S1),24,Sastra Prancis,{Pendidikan},ada,f,Belum menikah,0
243,Diploma III,26,Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,tidak ada,tidak ada,f,Belum menikah,0
244,Strata II (Magister/S2),38,Akuntansi,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,2
245,Strata I (S1),35,Ilmu Komunikasi,"{""Lain - Lain""}",tidak ada,f,Menikah,1
246,Strata I (S1),43,Perhotelan,tidak ada,ada,f,Menikah,2
247,Strata I (S1),42,Desain Interior,tidak ada,tidak ada,f,Belum menikah,0
248,Strata I (S1),35,Kepariwisataan,tidak ada,tidak ada,f,Menikah,4
249,Diploma III,25,Teknika,tidak ada,tidak ada,f,Belum menikah,0
250,Strata I (S1),34,Ilmu Komunikasi,tidak ada,tidak ada,f,Menikah,0
251,Strata I (S1),27,Kepariwisataan,tidak ada,ada,f,Menikah,0
252,SMK / MAK / Sederajat,28,Teknik Komputer,tidak ada,tidak ada,f,Menikah,1
253,SMK / MAK / Sederajat,26,Ilmu Teknik Sipil,tidak ada,tidak ada,f,Belum menikah,0
254,Strata I (S1),38,Sastra Inggris,"{""Information Technology (IT)""}",tidak ada,f,Belum menikah,0
255,SMK / MAK / Sederajat,26,Teknik Mesin,tidak ada,tidak ada,f,Menikah,1
256,Strata I (S1),36,Teknik Mesin,{Teknik},ada,f,Belum menikah,0
257,SMK / MAK / Sederajat,28,IPS,tidak ada,tidak ada,f,Belum menikah,0
258,SMK / MAK / Sederajat,34,Akuntansi,"{""Lain - Lain""}",ada,f,Menikah,2
259,SMK / MAK / Sederajat,30,Teknik Mesin,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,0
260,Strata I (S1),28,Manajemen,"{""Lain - Lain""}",tidak ada,f,Menikah,0
261,Strata I (S1),25,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
262,Strata I (S1),31,Teknik Mesin,{Teknik},tidak ada,t,Belum menikah,0
263,Strata I (S1),28,Perpustakaan dan Arsip,tidak ada,tidak ada,f,Belum menikah,0
264,Diploma III,30,Kebidanan,tidak ada,tidak ada,f,Belum menikah,0
265,Strata I (S1),25,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
266,SLTA / MA / Sederajat,31,IPA,tidak ada,tidak ada,f,Menikah,1
267,Strata I (S1),26,Matematika,tidak ada,tidak ada,f,Belum menikah,0
268,Strata I (S1),26,Manajemen Pemasaran,"{""TENAGA PROFESIONAL""}",tidak ada,f,Belum menikah,0
269,Strata I (S1),39,Ilmu Ekonomi,tidak ada,tidak ada,f,Menikah,1
270,SMK / MAK / Sederajat,33,Administrasi Perkantoran,tidak ada,tidak ada,f,Menikah,2
271,SMK / MAK / Sederajat,34,Teknik Mesin,{Marketing},tidak ada,f,Belum menikah,0
272,Strata I (S1),25,Teknik Sipil,tidak ada,ada,f,Belum menikah,0
273,SMK / MAK / Sederajat,22,Administrasi Perkantoran,tidak ada,tidak ada,f,Belum menikah,0
274,Strata I (S1),34,Manajemen,"{""Lain - Lain""}",tidak ada,f,Menikah,0
275,Strata I (S1),24,Ilmu Komunikasi,tidak ada,tidak ada,f,Belum menikah,0
276,Strata I (S1),30,Ilmu Hukum,{Kesehatan},tidak ada,f,Belum menikah,0
277,SMK / MAK / Sederajat,25,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
278,Diploma IV,28,Nautika,tidak ada,ada,f,Belum menikah,0
279,Strata II (Magister/S2),31,Manajemen Pendidikan,tidak ada,tidak ada,f,Belum menikah,0
280,Strata I (S1),26,Teknik Mesin,{{Arsitektur}tur},tidak ada,f,Belum menikah,0
281,SMK / MAK / Sederajat,36,IPS,tidak ada,tidak ada,f,Menikah,2
282,Strata I (S1),23,Ilmu Sejarah,tidak ada,ada,f,Belum menikah,0
283,SMK / MAK / Sederajat,21,IPA,tidak ada,tidak ada,f,Belum menikah,0
284,SMK / MAK / Sederajat,28,Nautika,tidak ada,tidak ada,f,Belum menikah,0
285,Diploma III,26,Teknik Sipil,tidak ada,ada,f,Belum menikah,0
286,SMK / MAK / Sederajat,21,IPA,tidak ada,tidak ada,f,Belum menikah,0
287,SMK / MAK / Sederajat,33,Teknik Mesin,tidak ada,ada,f,Menikah,1
288,Strata II (Magister/S2),34,Manajemen,"{""TENAGA PROFESIONAL""}",ada,f,Menikah,2
289,SMK / MAK / Sederajat,20,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
290,SMK / MAK / Sederajat,35,IPS,"{""OPERATOR DAN PERAKIT MESIN""}",tidak ada,f,Belum menikah,0
291,Strata I (S1),29,Manajemen,"{""Perbankan / Keuangan""}",tidak ada,f,Belum menikah,0
